Master process running on gpu16
Directory is /data/sgoswam4/Time-stepper/FitzHugh-Nagumo/fno_multiparameter
Starting execution at Tue Nov 26 18:01:26 EST 2024
Current PATH is /data/apps/linux-centos8-cascadelake/gcc-9.3.0/git-2.28.0-uh6lz2zi2m3rwkfujclkz2qrtm6awu6s/bin:/data/apps/linux-centos8-cascadelake/gcc-9.3.0/openmpi-3.1.6-rk3nyoehbq3pke4zy4hn7unns3ujtutx/bin:/data/apps/linux-centos8-cascadelake/gcc-9.2.0/gcc-9.3.0-bnvby67rgbqevwsd264rgz44xucnkhpm/bin:/data/apps/extern/python/envs/jupyterlab/3.4.5/bin:/data/apps/extern/spack_on/gcc/9.3.0/lua/5.4.4-njaqalolk5jksjkvmuvz5dz3hsfkzofi/bin:/data/apps/helpers:/cm/shared/apps/slurm/current/sbin:/cm/shared/apps/slurm/current/bin:/home/sgoswam4/.local/bin:/home/sgoswam4/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin
Epoch: 65, time: 4.017, Train Loss: 4.077e-02, Test Loss: 0.0000
Epoch: 66, time: 3.962, Train Loss: 4.024e-02, Test Loss: 0.0000
Epoch: 67, time: 3.862, Train Loss: 3.966e-02, Test Loss: 0.0000
Epoch: 68, time: 3.943, Train Loss: 3.910e-02, Test Loss: 0.0000
Epoch: 69, time: 3.973, Train Loss: 3.861e-02, Test Loss: 0.0000
Epoch: 70, time: 3.872, Train Loss: 3.822e-02, Test Loss: 0.0000
Epoch: 71, time: 3.938, Train Loss: 3.793e-02, Test Loss: 0.0000
Epoch: 72, time: 3.858, Train Loss: 3.774e-02, Test Loss: 0.0000
Epoch: 73, time: 3.924, Train Loss: 3.760e-02, Test Loss: 0.0000
Epoch: 74, time: 3.948, Train Loss: 3.749e-02, Test Loss: 0.0000
Epoch: 75, time: 3.877, Train Loss: 3.736e-02, Test Loss: 0.0000
Epoch: 76, time: 3.939, Train Loss: 3.719e-02, Test Loss: 0.0000
Epoch: 77, time: 3.951, Train Loss: 3.698e-02, Test Loss: 0.0000
Epoch: 78, time: 3.896, Train Loss: 3.674e-02, Test Loss: 0.0000
Epoch: 79, time: 3.950, Train Loss: 3.648e-02, Test Loss: 0.0000
Epoch: 80, time: 3.863, Train Loss: 3.623e-02, Test Loss: 0.0000
Epoch: 81, time: 3.943, Train Loss: 3.600e-02, Test Loss: 0.0000
